Date,Match Time,Team 1,Team 2,Team 1 Odds,Team 2 Odds,Team 1 line,Team 2 line
2024-03-30,1:40 PM EDT,MIL,NYM,-145,+115,7.5,7.5
2024-03-30,2:10 PM EDT,DET,CHW,-125,-105,8.5,8.5
2024-03-30,4:05 PM EDT,LAA,BAL,-115,-115,4.5,4.5
2024-03-30,4:05 PM EDT,ATL,PHI,-130,+100,4,4
2024-03-30,4:07 PM EDT,CLE,ATH,+110,-141,4,4
2024-03-30,4:10 PM EDT,PIT,MIA,-130,+100,4.5,4.5
2024-03-30,4:10 PM EDT,WAS,CIN,-130,+100,5.5,5.5
2024-03-30,4:10 PM EDT,MIN,KC,-130,+100,4,4
2024-03-30,4:10 PM EDT,TOR,TB,-115,-115,4.5,4.5
2024-03-30,7:05 PM EDT,CHC,TEX,-110,-120,5.5,5.5
2024-03-30,7:15 PM EDT,SF,SD,-110,-120,3.5,3.5
2024-03-30,7:15 PM EDT,NYY,HOU,-141,+110,3.5,3.5
2024-03-30,8:10 PM EDT,COL,AZ,+100,-130,5.5,5.5
2024-03-30,9:10 PM EDT,STL,LAD,-125,-105,4.5,4.5
2024-03-30,9:40 PM EDT,BOS,SEA,-105,-125,4,4
2024-03-31,1:35 PM EDT,ATL,PHI,-110,-120,5.5,5.5
2024-03-31,1:35 PM EDT,LAA,BAL,+105,-135,6.5,6.5
2024-03-31,1:40 PM EDT,MIL,NYM,-115,-115,4.5,4.5
2024-03-31,1:40 PM EDT,WAS,CIN,-115,-115,4.5,4.5
2024-03-31,1:40 PM EDT,TOR,TB,-120,-110,5.5,5.5
2024-03-31,1:40 PM EDT,PIT,MIA,-135,+105,3.5,3.5
2024-03-31,2:10 PM EDT,MIN,KC,+100,-130,5,5
2024-03-31,2:10 PM EDT,DET,CHW,-105,-125,4.5,4.5
2024-03-31,2:10 PM EDT,NYY,HOU,-115,-115,5,5
2024-03-31,2:35 PM EDT,CHC,TEX,-115,-115,5,5
2024-03-31,4:07 PM EDT,CLE,ATH,-115,-115,4.5,4.5
2024-03-31,4:10 PM EDT,BOS,SEA,-130,+100,4,4
2024-03-31,4:10 PM EDT,SF,SD,-130,+100,4.5,4.5
2024-03-31,4:10 PM EDT,COL,AZ,-115,-115,5,5
2024-03-31,7:10 PM EDT,STL,LAD,+120,-149,2.5,2.5
2024-04-01,2:10 PM EDT,ATL,CHW,-149,+120,4.5,4.5
2024-04-01,2:20 PM EDT,COL,CHC,-161,+125,0.5,0.5
2024-04-01,4:05 PM EDT,PIT,WAS,+145,-179,4.5,4.5
2024-04-01,6:35 PM EDT,KC,BAL,+100,-130,4.5,4.5
2024-04-01,6:40 PM EDT,CIN,PHI,+100,-130,4.5,4.5
2024-04-01,6:40 PM EDT,LAA,MIA,-110,-120,4.5,4.5
2024-04-01,6:50 PM EDT,TEX,TB,-130,+100,4.5,4.5
2024-04-01,7:10 PM EDT,DET,NYM,+100,-130,4.5,4.5
2024-04-01,8:10 PM EDT,TOR,HOU,-115,-115,5,5
2024-04-01,9:40 PM EDT,NYY,AZ,-130,+100,5,5
2024-04-01,9:40 PM EDT,STL,SD,-130,+100,4.5,4.5
2024-04-01,9:40 PM EDT,BOS,ATH,-105,-125,4.5,4.5
2024-04-01,9:40 PM EDT,CLE,SEA,-105,-125,4.5,4.5
2024-04-01,10:10 PM EDT,SF,LAD,-125,-105,4.5,4.5
2024-04-03,1:05 PM EDT,KC,BAL,+135,-169,3.5,3.5
2024-04-03,1:10 PM EDT,LAA,MIA,+145,-179,7.5,7.5
2024-04-03,1:10 PM EDT,TEX,TB,-149,+120,0.5,0.5
2024-04-03,1:10 PM EDT,MIN,MIL,-130,+100,2.5,2.5
2024-04-03,3:37 PM EDT,BOS,ATH,-115,-115,1.5,1.5
2024-04-03,3:40 PM EDT,NYY,AZ,+120,-149,3.5,3.5
2024-04-03,4:05 PM EDT,CIN,PHI,-169,+135,2.5,2.5
2024-04-03,4:10 PM EDT,STL,SD,-135,+105,3.5,3.5
2024-04-03,4:10 PM EDT,CLE,SEA,-141,+110,6.5,6.5
2024-04-03,6:45 PM EDT,PIT,WAS,-161,+125,6.5,6.5
2024-04-03,7:40 PM EDT,COL,CHC,-120,-110,5.5,5.5
2024-04-03,8:10 PM EDT,TOR,HOU,-120,-110,2.5,2.5
2024-04-03,10:10 PM EDT,SF,LAD,+135,-169,5.5,5.5
2024-04-04,12:10 PM EDT,DET,NYM,+125,-161,4.5,4.5
2024-04-04,4:05 PM EDT,PIT,WAS,-115,-115,4.5,4.5
2024-04-04,4:10 PM EDT,CLE,MIN,+110,-141,3.5,3.5
2024-04-04,4:15 PM EDT,MIA,STL,+105,-135,3.5,3.5
2024-04-04,4:20 PM EDT,DET,NYM,-125,-105,2.5,2.5
2024-04-04,7:40 PM EDT,CHW,KC,-189,+150,1.5,1.5
2024-04-05,1:05 PM EDT,TOR,NYY,+110,-141,1.5,1.5
2024-04-05,1:10 PM EDT,OAK,DET,+160,-200,1.5,1.5
2024-04-05,2:20 PM EDT,LAD,CHC,+100,-130,4,4
2024-04-05,4:10 PM EDT,TB,COL,+110,-141,7.5,7.5
2024-04-05,4:12 PM EDT,BAL,PIT,+135,-169,3.5,3.5
2024-04-05,4:35 PM EDT,SD,SF,-105,-125,4,4
2024-04-05,6:40 PM EDT,NYM,CIN,+120,-149,3.5,3.5
2024-04-05,6:45 PM EDT,PHI,WAS,-130,+100,4.5,4.5
2024-04-05,7:20 PM EDT,AZ,ATL,-130,+100,7.5,7.5
2024-04-05,7:40 PM EDT,CHW,KC,+100,-130,4.5,4.5
2024-04-05,8:05 PM EDT,HOU,TEX,-110,-120,5.5,5.5
2024-04-05,8:10 PM EDT,SEA,MIL,+110,-141,4,4
2024-04-05,9:38 PM EDT,BOS,LAA,-115,-115,5.5,5.5
2024-04-06,1:10 PM EDT,ATH,DET,+135,-169,3.5,3.5
2024-04-06,2:10 PM EDT,CLE,MIN,-135,+105,3.5,3.5
