Date,Match Time,Team 1,Team 2,Team 1 Odds,Team 2 Odds
2024-03-28,3:05 PM EDT,LAA,BAL,+158,-189
2024-03-28,4:10 PM EDT,MIN,KC,-125,+105
2024-03-28,4:10 PM EDT,WAS,CIN,+130,-154
2024-03-28,4:10 PM EDT,SF,SD,-105,-115
2024-03-28,4:10 PM EDT,NYY,HOU,+130,-154
2024-03-28,4:10 PM EDT,STL,LAD,+196,-238
2024-03-28,4:10 PM EDT,PIT,MIA,+110,-130
2024-03-28,4:10 PM EDT,TOR,TB,+115,-135
2024-03-28,4:10 PM EDT,DET,CHW,-189,+158
2024-03-28,7:35 PM EDT,CHC,TEX,+100,-120
2024-03-28,10:07 PM EDT,CLE,OAK,-161,+135
2024-03-28,10:10 PM EDT,COL,AZ,+185,-227
2024-03-28,10:10 PM EDT,BOS,SEA,+152,-179
2024-03-31,1:35 PM EDT,ATL,PHI,-149,+126
2024-03-31,1:35 PM EDT,LAA,BAL,+118,-141
2024-03-31,1:40 PM EDT,MIL,NYM,+118,-141
2024-03-31,1:40 PM EDT,WAS,CIN,+143,-169
2024-03-31,1:40 PM EDT,TOR,TB,-120,+100
2024-03-31,1:40 PM EDT,PIT,MIA,+126,-149
2024-03-31,2:10 PM EDT,MIN,KC,-120,+100
2024-03-31,2:10 PM EDT,DET,CHW,-149,+126
2024-03-31,2:10 PM EDT,NYY,HOU,+100,-120
2024-03-31,2:35 PM EDT,CHC,TEX,+110,-130
2024-03-31,4:07 PM EDT,CLE,ATH,-120,+100
2024-03-31,4:10 PM EDT,BOS,SEA,+110,-130
2024-03-31,4:10 PM EDT,SF,SD,+135,-161
2024-03-31,4:10 PM EDT,COL,AZ,+170,-204
2024-03-31,7:10 PM EDT,STL,LAD,+152,-179
2024-04-01,2:10 PM EDT,ATL,CHW,-333,+260
2024-04-01,2:20 PM EDT,COL,CHC,+205,-250
2024-04-01,4:05 PM EDT,PIT,WAS,-110,-110
2024-04-01,6:35 PM EDT,KC,BAL,+143,-169
2024-04-01,6:40 PM EDT,CIN,PHI,+122,-145
2024-04-01,6:40 PM EDT,LAA,MIA,-105,-115
2024-04-01,6:50 PM EDT,TEX,TB,+105,-125
2024-04-01,7:10 PM EDT,DET,NYM,+126,-149
2024-04-01,8:10 PM EDT,TOR,HOU,+118,-141
2024-04-01,9:40 PM EDT,NYY,AZ,-120,+100
2024-04-01,9:40 PM EDT,STL,SD,+100,-120
2024-04-01,9:40 PM EDT,BOS,ATH,-154,+130
2024-04-01,9:40 PM EDT,CLE,SEA,-115,-105
2024-04-01,10:10 PM EDT,SF,LAD,+170,-204
2024-04-02,4:10 PM EDT,MIN,MIL,+100,-120
2024-04-02,6:35 PM EDT,KC,BAL,+135,-161
2024-04-02,6:40 PM EDT,CIN,PHI,+118,-141
2024-04-02,6:40 PM EDT,LAA,MIA,+122,-145
2024-04-02,6:50 PM EDT,TEX,TB,+130,-154
2024-04-02,7:40 PM EDT,COL,CHC,+158,-189
2024-04-02,7:40 PM EDT,ATL,CHW,-189,+158
2024-04-02,8:10 PM EDT,TOR,HOU,+126,-149
2024-04-02,9:40 PM EDT,NYY,AZ,-105,-115
2024-04-02,9:40 PM EDT,STL,SD,+122,-145
2024-04-02,9:40 PM EDT,BOS,ATH,-145,+122
2024-04-02,9:40 PM EDT,CLE,SEA,+100,-120
2024-04-02,10:10 PM EDT,SF,LAD,+118,-141
2024-04-03,1:05 PM EDT,KC,BAL,+143,-169
2024-04-03,1:10 PM EDT,LAA,MIA,-105,-115
2024-04-03,1:10 PM EDT,TEX,TB,+105,-125
2024-04-03,1:10 PM EDT,MIN,MIL,-115,-105
2024-04-03,3:37 PM EDT,BOS,ATH,-169,+143
2024-04-03,3:40 PM EDT,NYY,AZ,-125,+105
2024-04-03,4:05 PM EDT,CIN,PHI,+150,-179
2024-04-03,4:10 PM EDT,STL,SD,+135,-161
2024-04-03,4:10 PM EDT,CLE,SEA,+126,-149
2024-04-03,6:45 PM EDT,PIT,WAS,-154,+130
2024-04-03,7:40 PM EDT,COL,CHC,+185,-227
2024-04-03,8:10 PM EDT,TOR,HOU,+143,-169
2024-04-03,10:10 PM EDT,SF,LAD,+215,-270
2024-04-04,12:10 PM EDT,DET,NYM,+122,-145
2024-04-04,4:05 PM EDT,PIT,WAS,-130,+110
2024-04-04,4:10 PM EDT,CLE,MIN,+143,-169
2024-04-04,4:15 PM EDT,MIA,STL,+130,-154
2024-04-04,4:20 PM EDT,DET,NYM,+105,-125
2024-04-04,7:40 PM EDT,CHW,KC,+158,-189
2024-04-05,1:05 PM EDT,TOR,NYY,+143,-169
2024-04-05,1:10 PM EDT,OAK,DET,+222,-278
2024-04-05,2:20 PM EDT,LAD,CHC,-189,+158
2024-04-05,4:10 PM EDT,TB,COL,-175,+148
2024-04-05,4:12 PM EDT,BAL,PIT,-120,+100
2024-04-05,4:35 PM EDT,SD,SF,+105,-125
2024-04-05,6:40 PM EDT,NYM,CIN,+105,-125
2024-04-05,6:45 PM EDT,PHI,WAS,-189,+158
2024-04-05,7:20 PM EDT,AZ,ATL,+260,-333
2024-04-05,7:40 PM EDT,CHW,KC,+162,-196
2024-04-05,8:05 PM EDT,HOU,TEX,-141,+118
2024-04-05,8:10 PM EDT,SEA,MIL,+105,-125
2024-04-05,9:38 PM EDT,BOS,LAA,-115,-105
2024-04-06,1:10 PM EDT,ATH,DET,+126,-149
2024-04-06,2:10 PM EDT,CLE,MIN,+140,-164
2024-04-06,2:15 PM EDT,MIA,STL,+130,-154
2024-04-06,4:05 PM EDT,BAL,PIT,-141,+118
2024-04-06,4:05 PM EDT,LAD,CHC,-145,+122
2024-04-06,4:05 PM EDT,PHI,WAS,-189,+158
2024-04-06,4:10 PM EDT,NYM,CIN,+105,-125
2024-04-06,7:05 PM EDT,HOU,TEX,-110,-110
2024-04-06,7:05 PM EDT,TOR,NYY,-105,-115
2024-04-06,7:10 PM EDT,CHW,KC,+185,-227
2024-04-06,7:10 PM EDT,SEA,MIL,+100,-120
2024-04-06,7:20 PM EDT,AZ,ATL,+162,-196
